id,n_atoms,dimer_tvars,monA_tvars,monB_tvars,Level of Theory,ERROR ESTIMATES (kcal/mol),ESTIMATED CPU TIMES (log10(s)),walltime_seconds,qcfractal id,job status,mb_interaction_energy,mb_wall_time,psi4 output,submitted_unix_time,mb_ie_kcalmol,reference_ie,IE_error_kcalmol
C3A,87,[    206    3267 1130431    7714],[    35    540 216610   1270],[   171   2727 954670   6444],HF/aug-cc-pVTZ/CP,26.081750869750977,3.624967484005549,4216.649318373241,[149],complete,0.014808319303938333,15977.349999999999,,1781290684.678278,9.29235363809504,-16.34,25.63
C2C2PD,72,[   156   2604 939386   6096],[    78   1302 494790   3048],[    78   1302 494790   3048],HF/aug-cc-pVTZ/CP,26.298044204711914,3.1087001917714163,1284.399689104898,[150],complete,0.02546765303441134,4733.610000000001,,1781290684.678278,15.981181487970426,-20.65,36.63
2a,92,[    193    3257 1191810    7596],[   141   2481 967396   5748],[    52    776 285682   1848],HF/aug-cc-pVTZ/CP,69.15465545654297,3.5416056143655785,3480.2113124806024,[151],complete,0.01650794970964853,16484.57,,1781290684.678278,10.358887014351838,-34.15,44.51
CBH,112,[    146    3258 1533416    7240],[    73   1629 794963   3620],[    73   1629 794968   3620],HF/aug-cc-pVTZ/CP,97.08833312988281,3.344801190509736,2212.0818403250964,[152],complete,0.011602391997257655,5470.43,,1781290684.678278,7.280605399807154,-11.06,18.34
Da2,88,[    164    2964 1163670    6832],[    82   1482 609882   3416],[    82   1482 609860   3416],HF/aug-cc-pVTZ/CP,46.75223159790039,3.2843156008495646,1924.4897433664553,[153],complete,0.025642550060865688,12457.079999999998,,1781290684.678278,16.090930946143768,-20.2,36.29
S8-2,84,[    188    3009 1095497    7054],[   141   2389 915353   5564],[    47    620 230587   1490],HF/aug-cc-pVTZ/CP,48.0178108215332,3.44907166186735,2812.3648535413736,[154],complete,0.011374698991858168,14935.05,,1781290684.678278,7.137725989681927,-30.79,37.93
C3A,87,[    206    3267 1130431    7714],[    35    540 216610   1270],[   171   2727 954670   6444],PBE-D3/aug-cc-pVTZ/CP,-11.564992904663086,3.5802298729499573,3803.9068460545163,[155],complete,-0.022037066457414767,24125.89,,1781290684.678278,-13.828457535625883,-16.34,2.51
C2C2PD,72,[   156   2604 939386   6096],[    78   1302 494790   3048],[    78   1302 494790   3048],PBE-D3/aug-cc-pVTZ/CP,-20.25238800048828,3.2049589405666805,1603.0938224840077,[156],complete,-0.026384230511894202,7356.27,,1781290684.678278,-16.55634210428822,-20.65,4.09
2a,92,[    193    3257 1191810    7596],[   141   2481 967396   5748],[    52    776 285682   1848],PBE-D3/aug-cc-pVTZ/CP,-24.18235969543457,3.5346703462696274,3425.077054024103,[157],complete,-0.04995357718598825,17385.52,,1781290684.678278,-31.346319266402304,-34.15,2.8
CBH,112,[    146    3258 1533416    7240],[    73   1629 794963   3620],[    73   1629 794968   3620],PBE-D3/aug-cc-pVTZ/CP,-69.33512878417969,3.4588199637339105,2876.2058398183312,[158],complete,-0.023350853495230695,8466.44,,1781290684.678278,-14.652870725938719,-11.06,-3.59
Da2,88,[    164    2964 1163670    6832],[    82   1482 609882   3416],[    82   1482 609860   3416],PBE-D3/aug-cc-pVTZ/CP,-21.087217330932617,3.356490665589799,2272.430792768776,[159],complete,-0.027714089350411086,12376.76,,1781290684.678278,-17.39084049418711,-20.2,2.81
S8-2,84,[    188    3009 1095497    7054],[   141   2389 915353   5564],[    47    620 230587   1490],PBE-D3/aug-cc-pVTZ/CP,-27.93562889099121,3.4563928788383063,2860.176795019881,317,complete,-0.04440417017121945,13778.61,,1781290684.678278,-27.864016419971744,-30.79,2.93
C3A,87,[    206    3267 1130431    7714],[    35    540 216610   1270],[   171   2727 954670   6444],wB97X-D/aug-cc-pVTZ/CP,0.2609981298446655,4.110225214225134,12889.177788460996,[161],complete,-0.028655730282025615,47526.76,,1781290684.678278,-17.981728653543612,-16.34,-1.64
C2C2PD,72,[   156   2604 939386   6096],[    78   1302 494790   3048],[    78   1302 494790   3048],wB97X-D/aug-cc-pVTZ/CP,0.18373635411262512,3.6325019375535907,4290.44103364262,[162],complete,-0.03720776686850513,31880.12,,1781290684.678278,-23.348208579888787,-20.65,-2.7
2a,92,[    193    3257 1191810    7596],[   141   2481 967396   5748],[    52    776 285682   1848],wB97X-D/aug-cc-pVTZ/CP,3.045236587524414,4.040402763453913,10974.955385371846,[163],complete,-0.06210322964761872,47862.17,,1781290684.678278,-38.97033553294757,-34.15,-4.82
CBH,112,[    146    3258 1533416    7240],[    73   1629 794963   3620],[    73   1629 794968   3620],wB97X-D/aug-cc-pVTZ/CP,12.387368202209473,3.8907371063802043,7775.657208580094,[164],complete,-0.022113176295533776,27577.17,,1781290684.678278,-13.876217144034104,-11.06,-2.82
Da2,88,[    164    2964 1163670    6832],[    82   1482 609882   3416],[    82   1482 609860   3416],wB97X-D/aug-cc-pVTZ/CP,3.494180679321289,3.805909184555749,6396.010743327672,[165],complete,-0.03708125319167266,37219.07,,1781290684.678278,-23.26882010905332,-20.2,-3.07
S8-2,84,[    188    3009 1095497    7054],[   141   2389 915353   5564],[    47    620 230587   1490],wB97X-D/aug-cc-pVTZ/CP,1.3761783838272095,3.9480352039262305,8872.279278507252,[166],complete,-0.050033670116590656,37149.270000000004,,1781290684.678278,-31.39657830119169,-30.79,-0.61
C3A,87,[    206    3267 1130431    7714],[    35    540 216610   1270],[   171   2727 954670   6444],wB97X-V/aug-cc-pVTZ/CP,0.9794572591781616,4.252238558017967,17874.691622882277,[167],complete,-0.027056533060658694,55791.44,,1781290684.678278,-16.978218004360876,-16.34,-0.64
C2C2PD,72,[   156   2604 939386   6096],[    78   1302 494790   3048],[    78   1302 494790   3048],wB97X-V/aug-cc-pVTZ/CP,1.2275904417037964,3.8128647054520486,6499.271887989986,[168],complete,-0.03377844270175956,29118.629999999997,,1781290684.678278,-21.19627680133844,-20.65,-0.55
2a,92,[    193    3257 1191810    7596],[   141   2481 967396   5748],[    52    776 285682   1848],wB97X-V/aug-cc-pVTZ/CP,-0.18686047196388245,4.19727676212119,15749.86233578604,[169],complete,-0.05872524402957424,54053.14,,1781290684.678278,-36.8506191557541,-34.15,-2.7
CBH,112,[    146    3258 1533416    7240],[    73   1629 794963   3620],[    73   1629 794968   3620],wB97X-V/aug-cc-pVTZ/CP,-1.1472030878067017,4.113136676878445,12975.875707023088,318,complete,-0.019354907135038957,37886.78,,1781290684.678278,-12.14537842140116,-11.06,-1.09
Da2,88,[    164    2964 1163670    6832],[    82   1482 609882   3416],[    82   1482 609860   3416],wB97X-V/aug-cc-pVTZ/CP,0.6145675778388977,3.9908288417675,9791.040381990344,[171],complete,-0.034399064354374786,40339.65,,1781290684.678278,-21.585722473949367,-20.2,-1.39
S8-2,84,[    188    3009 1095497    7054],[   141   2389 915353   5564],[    47    620 230587   1490],wB97X-V/aug-cc-pVTZ/CP,1.5833591222763062,4.107189026067372,12799.382742867612,[172],complete,-0.05108038401567683,44696.11,,1781290684.678278,-32.05340069329335,-30.79,-1.26
C3A,87,[    206    3267 1130431    7714],[    35    540 216610   1270],[   171   2727 954670   6444],MP2/aug-cc-pVTZ/CP,1.8464860916137695,3.9769492809861418,9483.077088647822,[173],complete,-0.042455941686057486,37789.87,,1781290684.678278,-26.641485511476247,-16.34,-10.3
C2C2PD,72,[   156   2604 939386   6096],[    78   1302 494790   3048],[    78   1302 494790   3048],MP2/aug-cc-pVTZ/CP,1.858049750328064,3.422792822438577,2647.2369889134307,[174],complete,-0.059776464613833014,9008.72,,1781290684.678278,-37.51026953336174,-20.65,-16.86
2a,92,[    193    3257 1191810    7596],[   141   2481 967396   5748],[    52    776 285682   1848],MP2/aug-cc-pVTZ/CP,5.158796787261963,3.8853197859182833,7679.2673201625985,[175],complete,-0.07770311109652539,31295.93,,1781290684.678278,-48.75940154106955,-34.15,-14.61
CBH,112,[    146    3258 1533416    7240],[    73   1629 794963   3620],[    73   1629 794968   3620],MP2/aug-cc-pVTZ/CP,6.519311428070068,3.66851442390061,4661.379092375536,[176],complete,-0.018485471019175748,12208.13,,1781290684.678278,-11.599799433771954,-11.06,-0.54
Da2,88,[    164    2964 1163670    6832],[    82   1482 609882   3416],[    82   1482 609860   3416],MP2/aug-cc-pVTZ/CP,4.280956745147705,3.6096951841290137,4070.9445237410027,319,complete,-0.054573185356957765,20909.96,,1781290684.678278,-34.24516497015921,-20.2,-14.05
